name,articul,price,gb,screen
"Lenovo IdeaPad 5 2 in 1 16AHP9 / CPU : AMD Ryzen 7 8845HS (8 Ядер) / Ram : 16 GB DDR5 (5200 MHz) / SSD : 1 TB PCIe NVMe M2 G4 / LCD : 16"" WUXGA Touch Screen X360 / Vram : AMD Radeon 780M / Keyboard : Eng/Rus Backlit / OS : Windows 11 Home / Color : Luna Grey / US Plug",292696,75493,16 GB,"16"""
"LENOVO IdeaPad Flex 5 14ABR8, AMD Ryzen™ 7 7730U (up to 4.5GHz), 16GB LPDDR4X-4266, 512GB SSD, 14"" WUXGA (1920x1200) IPS 300nits Touch Screen, AMD Radeon™ Graphics, Digital Pen, Backlit Keyboard, Wi-Fi® 6, BT5.3, DisplayPort™ 1.4, HDMI® 1.4, Type-C, Fingerprint, RUS/ENG/ARB, Windows® 11 Home, Arctic Grey, 82XX0081AX",290620,76673,16GB,"14"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 16GB DDR5, 256GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER",292642,76704,16GB,"16"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 16GB DDR5, 512GB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER + Windows 11 Home.",292648,78218,16GB,"16"""
"Ультрабук Lenovo IdeaPad Slim 5 16IRH10 i5-13420H (up 4.6Ghz) 8GB DDR5, 1TB SSD m2 NVMe, 16"" 2.8K (2880x1800) OLED 120Hz, Integrated Intel® UHD Graphics, Type-C, HDMI, WF, BT, DOS, ENG-RUS, корпус металл., серый [83HS002RRK]",287051,78338,8GB,"16"""
"Samsung Galaxy Book 4 / CPU : Intel Core 7-150U (10 Ядер) / Ram : 16 GB LPDDR4X (4200 MHz) / SSD : 512 GB PCIe NVMe M2 / VRAM : Shared / LCD : 15,6"" Anti-Glare FHD IPS / Keyboard : Eng/Rus Backlit / OS : Windows 11 Home / Color : Silver / US Plug",292693,78434,16 GB,"6"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I516512B7D Intel Core 5-120U (10 ядер/12 потоков, up to 5.0Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 1TB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboard",291076,79025,8GB,"14.0"""
"Ультрабук Acer Aspire Vero 16 AV16-51P-7063, Ultra 7 155U(up to 4.80GHz), 16GB DDR5, 256GB, 16"" WQXGA IPS, Intel Graphics, WIN11H, чехол скан. отп. пальцев клав. с подсв EN-RU, Cobblestone Gray",290333,81029,16GB,"16"""
"Asus ExpertBook B3 Flip 2-in-1 B3402FVA-I716512B7D Intel Core 7-150U (10 ядер/12 потоков, up to 5.4Ghz), 14.0"" FULL HD IPS 400nits (1920 x 1080) 360° Touchscreen, 8GB DDR4-3200Mhz, 256GB SSD PCIe NVMe M.2, Intel Graphics, WiFi 6E, BT5.4, 2xUSB Type-A, 2xThunderbolt 4, RJ45 Gigabit Ethernet, HDMI 2.1, Dual Camera 720p 3DNR HD Webam with Privacy Shutter + Special 13 MP world-facing high-resolution camera located just above the keyboard, Audio Sound by SonicMaster, Backlight Chiclet Keyboa",291088,81245,8GB,"14.0"""
"HP OmniBook 3 AI 16-BU0315DX Intel Core Ultra 5-225U (12 ядер/14 потоков, up to 4.8Ghz), 16"" 2K IPS 300nits (1920 x 1200) Touchscreen, 8GB DDR5, 1TB SSD PCIe NVMe, Intel Graphics, 2xUSB Type-A, 2xUSB-C (with PD and DP), WiFi 7, BT 6, HP True Vision 1080p FHD Camera with Privacy Shutter, HP Fast Charge (Быстрая зарядка), Copilot Key, Eng-Rus, MICA SILVER",292653,81245,8GB,"16"""
